Index,ID,Hand,XPos,YPos,ZPos,Time
0,NULL,Left,-0.5115719,1.363091,0.03481678,93.11225
0,NULL,Right,-0.3042364,1.334586,0.1118939,93.11225
0,NULL,Left,-0.4982514,1.352036,0.06121348,93.55746
0,NULL,Right,-0.2250862,1.334909,0.1335474,93.55746
0,NULL,Left,-0.5105245,1.137172,-0.03649332,94.00024
0,NULL,Right,-0.1381795,1.198235,0.1698255,94.00024
0,NULL,Left,-0.5134439,1.117927,-0.07578776,94.44611
0,NULL,Right,-0.1510077,1.199622,0.1671671,94.44611
0,NULL,Left,-0.5100591,1.12054,-0.08168042,94.89076
0,NULL,Right,-0.1504992,1.177963,0.1523376,94.89076
0,NULL,Left,-0.5047899,1.10987,-0.09302235,95.34641
0,NULL,Right,-0.1694982,1.117464,0.1171495,95.34641
0,NULL,Left,-0.5112674,1.098828,-0.1130103,95.79004
0,NULL,Right,-0.1932166,1.091589,0.09397392,95.79004
0,NULL,Left,-0.5244392,1.096746,-0.1241609,96.23522
0,NULL,Right,-0.2843266,1.249724,0.08782755,96.23522
0,NULL,Left,-0.5513496,1.082293,-0.1736939,96.69086
0,NULL,Right,-0.3428434,1.309122,-0.02778772,96.69086
0,NULL,Left,-0.5379812,1.075273,-0.2891886,97.1468
0,NULL,Right,-0.4359695,1.32346,-0.2756402,97.1468
0,NULL,Left,-0.4546189,1.097739,-0.4946708,97.60146
0,NULL,Right,-0.4044604,1.334104,-0.4735983,97.60146
0,NULL,Left,-0.4188218,1.07204,-0.5390005,98.04572
0,NULL,Right,-0.4096337,1.341922,-0.4089534,98.04572
